,id,reason_for_absence,month_of_absence,day_of_the_week,seasons,transportation_expense,distance_from_residence_to_work,service_time,age,work_load_average/day,hit_target,disciplinary_failure,education,son,social_drinker,social_smoker,pet,weight,height,body_mass_index,absenteeism_time_in_hours,absence_category
0,11,26,7,3,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,4,1
1,36,0,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31,0,0
2,3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,1
3,7,7,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24,4,1
4,11,23,7,5,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,2,1
5,3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,1
6,10,22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,8,2
7,20,23,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,4,1
8,14,19,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25,40,4
9,1,22,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29,8,2
10,20,1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,2
11,20,1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,2
12,20,11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,2
13,3,11,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,1,1
14,3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,4,1
15,24,14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,8,2
16,3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,1
17,3,21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,8,2
18,6,11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,8,2
19,33,23,8,4,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32,2,1
20,18,10,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25,8,2
21,3,11,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,1,1
22,10,13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,40,4
23,20,28,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4,1
24,11,18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,2
25,10,25,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,7,2
26,11,23,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,1,1
27,30,28,8,4,1,157,27,6,29,205.917,92,0,1,0,1,1,0,75,185,22,4,1
28,11,18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,2
29,3,23,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2,1
30,3,18,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,8,2
31,2,18,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,2
32,1,23,8,5,1,235,11,14,37,205.917,92,0,3,1,0,0,1,88,172,29,4,1
33,2,18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,2
