id,code,nom,nom_norm,lon,lat,epci_id,epci_nom,bassin_vie_id,bassin_vie_nom,zone_emploi_id,zone_emploi_nom,arr_dept_id,arr_dept_nom,dept_id,date,type,parent,date_debut,date_fin,old_type,old_nom,old_nom_norm,old_date_fin
2439,02439,Les Septvallons,LES SEPTVALLONS,3.674625543275722,49.35274594856808,240200501,Communauté de communes du Val de l'Aisne,51250,Fismes,3221,Soissons,024,Soissons,2,2025-06-26 23:12:22.934702,,,2016-01-01,,COM,Longueval-Barbonval,LONGUEVAL BARBONVAL,2016-01-01
2319,02319,Fonsomme,FONSOMME,3.3968551745537914,49.9016441599295,200071892,Communauté d'agglomération du Saint-Quentinois,02691,Saint-Quentin,3220,Saint-Quentin,023,Saint-Quentin,2,2025-06-26 23:12:10.400503,,,2011-03-25,,COM,Fonsommes,FONSOMMES,2011-03-25
2818,02818,Villiers-Saint-Denis,VILLIERS SAINT DENIS,3.2611677278323845,48.997441709707374,240200584,Communauté de communes du Canton de Charly-sur-Marne,02163,Charly-sur-Marne,3209,Château-Thierry,021,Château-Thierry,2,2025-06-26 23:12:07.373128,,,1970-04-13,,COM,Villiers-sur-Marne,VILLIERS SUR MARNE,1970-04-13
1426,01426,Val-Revermont,VAL REVERMONT,5.363442838249599,46.28572536619273,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,01072,Ceyzériat,8405,Bourg en Bresse,012,Bourg-en-Bresse,1,2025-06-26 23:12:14.270435,,,2016-01-01,,COM,Treffort-Cuisiat,TREFFORT CUISIAT,2016-01-01
2220,02220,Coulonges-Cohan,COULONGES COHAN,3.627456115862068,49.198617675554914,200072031,Communauté d'agglomération de la Région de Château-Thierry,02305,Fère-en-Tardenois,3209,Château-Thierry,021,Château-Thierry,2,2025-06-26 23:12:10.399502,,,1971-01-01,,COM,Coulonges-en-Tardenois,COULONGES EN TARDENOIS,1971-01-01
1097,01097,Chavornay,CHAVORNAY,5.735433178188308,45.916298854638825,200040350,Communauté de communes Bugey Sud,01034,Belley,8404,Belley,011,Belley,1,2025-07-09 13:55:56.616733,COM,01453,1943-01-01,2019-01-01,,,,
1145,01145,Dompierre-sur-Veyle,DOMPIERRE SUR VEYLE,5.216347540403456,46.06706127721518,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,01053,Bourg-en-Bresse,8405,Bourg en Bresse,012,Bourg-en-Bresse,1,2025-06-26 23:12:07.316225,,,1954-09-11,,COM,Dompierre,DOMPIERRE,1954-09-11
1215,01215,Surjoux-Lhopital,SURJOUX LHOPITAL,5.78326773861122,46.02765266111583,240100891,Communauté de communes du Pays Bellegardien (CCPB),74269,Seyssel,8416,Le Genevois Français,014,Nantua,1,2025-06-26 23:13:04.695426,,,2019-01-01,,COM,Lhôpital,LHOPITAL,2019-01-01
1266,01266,Montrevel-en-Bresse,MONTREVEL EN BRESSE,5.112513080269252,46.32497037114502,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,01266,Montrevel-en-Bresse,8405,Bourg en Bresse,012,Bourg-en-Bresse,1,2025-06-26 23:12:04.368255,,,1955-01-29,,COM,Montrevel,MONTREVEL,1955-01-29
1370,01370,Saint-Laurent-sur-Saône,SAINT LAURENT SUR SAONE,4.840157196784714,46.305954991186006,200070308,Communauté d'agglomération Mâconnais Beaujolais Agglomération,71270,Mâcon,59,Mâcon,012,Bourg-en-Bresse,1,2025-06-26 23:12:19.972519,,,1958-12-19,,COM,Saint-Laurent,SAINT LAURENT,1958-12-19
