id,code,nom,nom_norm,lon,lat,is_irisee,arrondissement_code,arrondissement_nom,type,grd_quart_code,grd_quart_nom,in_ctu,commune_id,date,is_main
821300000,821300000,Montjoi,MONTJOI,0.9295439781067588,44.20451497261993,f,82130,Montjoi,C,8213000,,f,82130,2025-06-26 23:17:27.714388,t
811540000,811540000,Marnaves,MARNAVES,1.8723421607318094,44.0958993252801,f,81154,Marnaves,C,8115400,,f,81154,2025-06-26 23:17:27.703328,t
840060000,840060000,Auribeau,AURIBEAU,5.447994672856666,43.82984060632611,f,84006,Auribeau,C,8400600,,f,84006,2025-06-26 23:17:27.729404,t
821570000,821570000,Saint-Beauzeil,SAINT BEAUZEIL,0.9081515007890494,44.33382124173991,f,82157,Saint-Beauzeil,C,8215700,,f,82157,2025-06-26 23:17:27.715389,t
840880101,840880101,Secteur Ouest,SECTEUR OUEST,5.007776922488779,43.98800932808953,t,84088,Pernes-les-Fontaines,A,8408801,Pernes-les-Fontaines,f,84088,2025-06-26 23:17:27.735405,f
831370208,831370208,Les Routes I,LES ROUTES I,5.906024193732722,43.13717736144938,t,83137,Toulon,A,8313702,Canton 2,f,83137,2025-06-26 23:17:27.726399,f
831370311,831370311,Saint-Roch I,SAINT ROCH I,5.919317635236162,43.13068532896501,t,83137,Toulon,A,8313703,Canton 3,f,83137,2025-06-26 23:17:27.727399,f
831370505,831370505,Haute Ville-Place Liberté,HAUTE VILLE PLACE LIBERTE,5.933430301206462,43.12498923802966,t,83137,Toulon,A,8313705,Canton 5,f,83137,2025-06-26 23:17:27.728415,f
841310000,841310000,Taillades,TAILLADES,5.094664661951021,43.831420983276345,f,84131,Taillades,C,8413100,,f,84131,2025-06-26 23:17:27.737061,t
830230301,830230301,Extension Années 80-90,EXTENSION ANNEES 80 90,6.074949964585334,43.40798666022101,t,83023,Brignoles,A,8302303,Extention Années 80-90,f,83023,2025-06-26 23:17:27.719394,f
821920000,821920000,Verlhac-Tescou,VERLHAC TESCOU,1.532633647634329,43.93310016747281,f,82192,Verlhac-Tescou,C,8219200,,f,82192,2025-06-26 23:17:27.716376,t
830750000,830750000,Les Mayons,LES MAYONS,6.359962250903535,43.306578889909,f,83075,Les Mayons,C,8307500,,f,83075,2025-06-26 23:17:27.723411,t
807900000,807900000,Verpillières,VERPILLIERES,2.823399166663358,49.66667655779807,f,80790,Verpillières,C,8079000,,f,80790,2025-06-26 23:17:27.694325,t
820670000,820670000,Gensac,GENSAC,0.959368628235334,43.94810898014512,f,82067,Gensac,C,8206700,,f,82067,2025-06-26 23:17:27.709351,t
821120103,821120103,Quartier Est,QUARTIER EST,1.1382948437072717,44.127845377637,t,82112,Moissac,A,8211201,Moissac,f,82112,2025-06-26 23:17:27.712323,f
841020000,841020000,Roussillon,ROUSSILLON,5.29212104355903,43.901341659810655,f,84102,Roussillon,C,8410200,,f,84102,2025-06-26 23:17:27.736403,t
808210000,808210000,Warlus,WARLUS,1.956466528738795,49.91730032648022,f,80821,Warlus,C,8082100,,f,80821,2025-06-26 23:17:27.696384,t
840490000,840490000,Gigondas,GIGONDAS,5.012135348590314,44.166346505758746,f,84049,Gigondas,C,8404900,,f,84049,2025-06-26 23:17:27.732404,t
830420104,830420104,Est,EST,6.542767099138112,43.23831055812005,t,83042,Cogolin,A,8304201,Cogolin,f,83042,2025-06-26 23:17:27.720398,f
810060000,810060000,Algans,ALGANS,1.891466374487827,43.59992572531699,f,81006,Algans,C,8100600,,f,81006,2025-06-26 23:17:27.697327,t
821170000,821170000,Montaigu-de-Quercy,MONTAIGU DE QUERCY,1.0323979069779776,44.34090025935087,f,82117,Montaigu-de-Quercy,C,8211700,,f,82117,2025-06-26 23:17:27.713372,t
830980101,830980101,Pradet Sud,PRADET SUD,6.033222250943609,43.09319492143384,t,83098,Le Pradet,A,8309801,Le Pradet,f,83098,2025-06-26 23:17:27.724411,f
841330000,841330000,La Tour-d'Aigues,LA TOUR D AIGUES,5.567390988413717,43.72171174085619,f,84133,La Tour-d'Aigues,C,8413300,,f,84133,2025-06-26 23:17:27.737061,t
812590000,812590000,Saint-Julien-Gaulène,SAINT JULIEN GAULENE,2.341645835051108,43.996512351774136,f,81259,Saint-Julien-Gaulène,C,8125900,,f,81259,2025-06-26 23:17:27.705318,t
830690121,830690121,Zone du Palyvestre-Rougières,ZONE DU PALYVESTRE ROUGIERES,6.152600626942712,43.10096402332443,t,83069,Hyères,C,8306901,Hyères,f,83069,2025-06-26 23:17:27.721398,t
810170000,810170000,Arifat,ARIFAT,2.3533752241691874,43.775693620573264,f,81017,Arifat,C,8101700,,f,81017,2025-06-26 23:17:27.69832,t
813260000,813260000,Sainte-Croix,SAINTE CROIX,2.0720928370453824,43.97047672983883,f,81326,Sainte-Croix,C,8132600,,f,81326,2025-06-26 23:17:27.706319,t
830610114,830610114,Saint-Aygulf 2,SAINT AYGULF 2,6.715225740006111,43.38179343304835,t,83061,Fréjus,A,8306101,Fréjus,f,83061,2025-06-26 23:17:27.721398,f
850470102,850470102,Bois de Céné-Saint-Christophe,BOIS DE CENE SAINT CHRISTOPHE,-1.8229066962763576,46.850482688178744,t,85047,Challans,A,8504701,Challans,f,85047,2025-06-26 23:17:27.746929,f
805580000,805580000,Monsures,MONSURES,2.1610567152443263,49.71067959586782,f,80558,Monsures,C,8055800,,f,80558,2025-06-26 23:17:27.69032,t
811110000,811110000,Labarthe-Bleys,LABARTHE BLEYS,1.8958984206933152,44.08407811456054,f,81111,Labarthe-Bleys,C,8111100,,f,81111,2025-06-26 23:17:27.702336,t
805310000,805310000,Méricourt-en-Vimeu,MERICOURT EN VIMEU,1.9462532540967987,49.894390192938275,f,80531,Méricourt-en-Vimeu,C,8053100,,f,80531,2025-06-26 23:17:27.687311,t
808000000,808000000,Villers-Campsart,VILLERS CAMPSART,1.8360695263344349,49.869602817194384,f,80800,Villers-Campsart,C,8080000,,f,80800,2025-06-26 23:17:27.695423,t
810740000,810740000,Cunac,CUNAC,2.225850182712787,43.92728736639596,f,81074,Cunac,C,8107400,,f,81074,2025-06-26 23:17:27.699329,t
820330105,820330105,Barraouet,BARRAOUET,1.1020382538381464,44.0568792548753,t,82033,Castelsarrasin,C,8203301,Castelsarrasin,f,82033,2025-06-26 23:17:27.708345,f
820940000,820940000,Lauzerte,LAUZERTE,1.1274011151410677,44.263887188025535,f,82094,Lauzerte,C,8209400,,f,82094,2025-06-26 23:17:27.7111,t
841420000,841420000,Velleron,VELLERON,5.02821437573839,43.96141881725055,f,84142,Velleron,C,8414200,,f,84142,2025-06-26 23:17:27.738935,t
805590000,805590000,Montagne-Fayel,MONTAGNE FAYEL,1.9872093343593946,49.910822270689636,f,80559,Montagne-Fayel,C,8055900,,f,80559,2025-06-26 23:17:27.69141,t
812250000,812250000,Rivières,RIVIERES,1.9705269900340625,43.9156455285769,f,81225,Rivières,C,8122500,,f,81225,2025-06-26 23:17:27.704318,t
840350103,840350103,Centre Ville,CENTRE VILLE,5.03702437062762,43.836618568602205,t,84035,Cavaillon,A,8403501,Grand Quartier 1,f,84035,2025-06-26 23:17:27.731415,f
830740000,830740000,La Martre,LA MARTRE,6.592519241124357,43.76342978169369,f,83074,La Martre,C,8307400,,f,83074,2025-06-26 23:17:27.722411,t
831160101,831160101,Centre Ville,CENTRE VILLE,5.8626710678588285,43.45228700758561,t,83116,Saint-Maximin-la-Sainte-Baume,A,8311601,Saint-Maximin-la-Sainte-Baume,f,83116,2025-06-26 23:17:27.725399,t
805070000,805070000,Marcelcave,MARCELCAVE,2.570529556000948,49.848199065924334,f,80507,Marcelcave,C,8050700,,f,80507,2025-06-26 23:17:27.683114,t
820700000,820700000,Glatens,GLATENS,0.9188981952949486,43.89489258335123,f,82070,Glatens,C,8207000,,f,82070,2025-06-26 23:17:27.71035,t
805370000,805370000,Mesnil-Domqueur,MESNIL DOMQUEUR,2.0642662396418876,50.133035334033956,f,80537,Mesnil-Domqueur,C,8053700,,f,80537,2025-06-26 23:17:27.68932,t
807480000,807480000,Templeux-le-Guérard,TEMPLEUX LE GUERARD,3.1448124794001986,49.9628683744813,f,80748,Templeux-le-Guérard,C,8074800,,f,80748,2025-06-26 23:17:27.693364,t
811050107,811050107,Nabeillou-La Jonquière,NABEILLOU LA JONQUIERE,1.9719229931998359,43.748140745585175,t,81105,Graulhet,A,8110501,Graulhet,f,81105,2025-06-26 23:17:27.701333,f
840870203,840870203,Les Sables,LES SABLES,4.817279454091359,44.12583235590512,t,84087,Orange,A,8408702,Grand Quartier 2,f,84087,2025-06-26 23:17:27.733417,f
850610000,850610000,Château-Guibert,CHATEAU GUIBERT,-1.255279192398965,46.574300067133414,f,85061,Château-Guibert,C,8506100,,f,85061,2025-06-26 23:17:27.748931,t
853040000,853040000,Vouillé-les-Marais,VOUILLE LES MARAIS,-0.967805683537803,46.38929627917964,f,85304,Vouillé-les-Marais,C,8530400,,f,85304,2025-06-26 23:17:27.757052,t
884250000,884250000,Saint-Maurice-sur-Mortagne,SAINT MAURICE SUR MORTAGNE,6.574206376527385,48.39156470051779,f,88425,Saint-Maurice-sur-Mortagne,C,8842500,,f,88425,2025-06-26 23:17:27.793954,t
871850000,871850000,Saint-Victurnien,SAINT VICTURNIEN,1.0248214467533456,45.8806682838844,f,87185,Saint-Victurnien,C,8718500,,f,87185,2025-06-26 23:17:27.784942,t
885230000,885230000,Vouxey,VOUXEY,5.790740401293057,48.34768508450318,f,88523,Vouxey,C,8852300,,f,88523,2025-06-26 23:17:27.798948,t
890240104,890240104,Saint-Julien-Darnus,SAINT JULIEN DARNUS,3.57537253776204,47.78954403445025,t,89024,Auxerre,A,8902401,Auxerre,f,89024,2025-06-26 23:17:27.799955,f
890240118,890240118,Les Clairions-Les Pieds de Rats,LES CLAIRIONS LES PIEDS DE RATS,3.5711854451516283,47.81505611332417,t,89024,Auxerre,C,8902401,Auxerre,f,89024,2025-06-26 23:17:27.800953,f
851640000,851640000,Notre-Dame-de-Monts,NOTRE DAME DE MONTS,-2.1094296592927537,46.842364209667615,f,85164,Notre-Dame-de-Monts,C,8516400,,f,85164,2025-06-26 23:17:27.753929,t
880150000,880150000,Attignéville,ATTIGNEVILLE,5.826509468549736,48.398029296719194,f,88015,Attignéville,C,8801500,,f,88015,2025-06-26 23:17:27.787946,t
861940301,861940301,Les Cours,LES COURS,0.3324252300747425,46.56782782641044,t,86194,Poitiers,A,8619403,Trois Cités,f,86194,2025-06-26 23:17:27.761712,f
870910000,870910000,Maisonnais-sur-Tardoire,MAISONNAIS SUR TARDOIRE,0.6834912954092921,45.71200145223557,f,87091,Maisonnais-sur-Tardoire,C,8709100,,f,87091,2025-06-26 23:17:27.775942,t
850840000,850840000,Essarts-en-Bocage,ESSARTS EN BOCAGE,-1.2415888851037165,46.781606084144514,f,85084,Essarts-en-Bocage,C,8508400,,f,85084,2025-06-26 23:17:27.75093,t
861130000,861130000,Iteuil,ITEUIL,0.29176776083727385,46.485254987476665,f,86113,Iteuil,C,8611300,,f,86113,2025-06-26 23:17:27.759813,t
892720000,892720000,Moulins-sur-Ouanne,MOULINS SUR OUANNE,3.3432818171912424,47.704005608772405,f,89272,Moulins-sur-Ouanne,C,8927200,,f,89272,2025-06-26 23:17:27.810273,t
861860000,861860000,Oyré,OYRE,0.6464041223605844,46.8632285971458,f,86186,Oyré,C,8618600,,f,86186,2025-06-26 23:17:27.760932,t
871890000,871890000,Les Salles-Lavauguyon,LES SALLES LAVAUGUYON,0.6938518943981568,45.743835697406396,f,87189,Les Salles-Lavauguyon,C,8718900,,f,87189,2025-06-26 23:17:27.78594,t
870850204,870850204,Les Halles,LES HALLES,1.2584720729882577,45.82896083388048,t,87085,Limoges,A,8708502,Grand Quartier 2,f,87085,2025-06-26 23:17:27.77394,f
870850602,870850602,Le Mas Loubier,LE MAS LOUBIER,1.256979978819916,45.84852278027661,t,87085,Limoges,A,8708506,Grand Quartier 6,f,87085,2025-06-26 23:17:27.77494,f
862610000,862610000,Sèvres-Anxaumont,SEVRES ANXAUMONT,0.46221697242678006,46.57388167827414,f,86261,Sèvres-Anxaumont,C,8626100,,f,86261,2025-06-26 23:17:27.76694,t
862910000,862910000,Villemort,VILLEMORT,0.9279969912474326,46.55001233694282,f,86291,Villemort,C,8629100,,f,86291,2025-06-26 23:17:27.771957,t
885140000,885140000,Viocourt,VIOCOURT,5.871073740631532,48.32188715207177,f,88514,Viocourt,C,8851400,,f,88514,2025-06-26 23:17:27.79694,t
862110000,862110000,Romagne,ROMAGNE,0.3032968181988863,46.25777322598707,f,86211,Romagne,C,8621100,,f,86211,2025-06-26 23:17:27.764941,t
